id,difficulty,question,option_a,option_b,option_c,option_d,answer,concept
458,medium,Why is a purge stream required in recycle systems? (Variant 153),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
459,hard,Which balance must always be satisfied? (Variant 153),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
460,easy,Which term is zero in steady-state mass balance? (Variant 154),Input,Output,Accumulation,Generation,2,mass_balance
461,medium,Why is a purge stream required in recycle systems? (Variant 154),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
462,hard,Which balance must always be satisfied? (Variant 154),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
463,easy,Which term is zero in steady-state mass balance? (Variant 155),Input,Output,Accumulation,Generation,2,mass_balance
464,medium,Why is a purge stream required in recycle systems? (Variant 155),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
465,hard,Which balance must always be satisfied? (Variant 155),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
466,easy,Which term is zero in steady-state mass balance? (Variant 156),Input,Output,Accumulation,Generation,2,mass_balance
467,medium,Why is a purge stream required in recycle systems? (Variant 156),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
468,hard,Which balance must always be satisfied? (Variant 156),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
469,easy,Which term is zero in steady-state mass balance? (Variant 157),Input,Output,Accumulation,Generation,2,mass_balance
470,medium,Why is a purge stream required in recycle systems? (Variant 157),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
471,hard,Which balance must always be satisfied? (Variant 157),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
472,easy,Which term is zero in steady-state mass balance? (Variant 158),Input,Output,Accumulation,Generation,2,mass_balance
473,medium,Why is a purge stream required in recycle systems? (Variant 158),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
474,hard,Which balance must always be satisfied? (Variant 158),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
475,easy,Which term is zero in steady-state mass balance? (Variant 159),Input,Output,Accumulation,Generation,2,mass_balance
476,medium,Why is a purge stream required in recycle systems? (Variant 159),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
477,hard,Which balance must always be satisfied? (Variant 159),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
478,easy,Which term is zero in steady-state mass balance? (Variant 160),Input,Output,Accumulation,Generation,2,mass_balance
479,medium,Why is a purge stream required in recycle systems? (Variant 160),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
480,hard,Which balance must always be satisfied? (Variant 160),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
481,easy,Which term is zero in steady-state mass balance? (Variant 161),Input,Output,Accumulation,Generation,2,mass_balance
482,medium,Why is a purge stream required in recycle systems? (Variant 161),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
483,hard,Which balance must always be satisfied? (Variant 161),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
484,easy,Which term is zero in steady-state mass balance? (Variant 162),Input,Output,Accumulation,Generation,2,mass_balance
485,medium,Why is a purge stream required in recycle systems? (Variant 162),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
486,hard,Which balance must always be satisfied? (Variant 162),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
487,easy,Which term is zero in steady-state mass balance? (Variant 163),Input,Output,Accumulation,Generation,2,mass_balance
488,medium,Why is a purge stream required in recycle systems? (Variant 163),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
489,hard,Which balance must always be satisfied? (Variant 163),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
490,easy,Which term is zero in steady-state mass balance? (Variant 164),Input,Output,Accumulation,Generation,2,mass_balance
491,medium,Why is a purge stream required in recycle systems? (Variant 164),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
492,hard,Which balance must always be satisfied? (Variant 164),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
493,easy,Which term is zero in steady-state mass balance? (Variant 165),Input,Output,Accumulation,Generation,2,mass_balance
494,medium,Why is a purge stream required in recycle systems? (Variant 165),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
495,hard,Which balance must always be satisfied? (Variant 165),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
496,easy,Which term is zero in steady-state mass balance? (Variant 166),Input,Output,Accumulation,Generation,2,mass_balance
497,medium,Why is a purge stream required in recycle systems? (Variant 166),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
498,hard,Which balance must always be satisfied? (Variant 166),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
499,easy,Which term is zero in steady-state mass balance? (Variant 167),Input,Output,Accumulation,Generation,2,mass_balance
500,medium,Why is a purge stream required in recycle systems? (Variant 167),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
501,hard,Which balance must always be satisfied? (Variant 167),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
502,easy,Which term is zero in steady-state mass balance? (Variant 168),Input,Output,Accumulation,Generation,2,mass_balance
503,medium,Why is a purge stream required in recycle systems? (Variant 168),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
504,hard,Which balance must always be satisfied? (Variant 168),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
505,easy,Which term is zero in steady-state mass balance? (Variant 169),Input,Output,Accumulation,Generation,2,mass_balance
506,medium,Why is a purge stream required in recycle systems? (Variant 169),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
507,hard,Which balance must always be satisfied? (Variant 169),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
508,easy,Which term is zero in steady-state mass balance? (Variant 170),Input,Output,Accumulation,Generation,2,mass_balance
509,medium,Why is a purge stream required in recycle systems? (Variant 170),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
510,hard,Which balance must always be satisfied? (Variant 170),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
511,easy,Which term is zero in steady-state mass balance? (Variant 171),Input,Output,Accumulation,Generation,2,mass_balance
512,medium,Why is a purge stream required in recycle systems? (Variant 171),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
513,hard,Which balance must always be satisfied? (Variant 171),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
514,easy,Which term is zero in steady-state mass balance? (Variant 172),Input,Output,Accumulation,Generation,2,mass_balance
515,medium,Why is a purge stream required in recycle systems? (Variant 172),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
516,hard,Which balance must always be satisfied? (Variant 172),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
517,easy,Which term is zero in steady-state mass balance? (Variant 173),Input,Output,Accumulation,Generation,2,mass_balance
518,medium,Why is a purge stream required in recycle systems? (Variant 173),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
519,hard,Which balance must always be satisfied? (Variant 173),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
520,easy,Which term is zero in steady-state mass balance? (Variant 174),Input,Output,Accumulation,Generation,2,mass_balance
521,medium,Why is a purge stream required in recycle systems? (Variant 174),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
522,hard,Which balance must always be satisfied? (Variant 174),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
523,easy,Which term is zero in steady-state mass balance? (Variant 175),Input,Output,Accumulation,Generation,2,mass_balance
524,medium,Why is a purge stream required in recycle systems? (Variant 175),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
525,hard,Which balance must always be satisfied? (Variant 175),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
526,easy,Which term is zero in steady-state mass balance? (Variant 176),Input,Output,Accumulation,Generation,2,mass_balance
527,medium,Why is a purge stream required in recycle systems? (Variant 176),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
528,hard,Which balance must always be satisfied? (Variant 176),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
529,easy,Which term is zero in steady-state mass balance? (Variant 177),Input,Output,Accumulation,Generation,2,mass_balance
530,medium,Why is a purge stream required in recycle systems? (Variant 177),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
531,hard,Which balance must always be satisfied? (Variant 177),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
532,easy,Which term is zero in steady-state mass balance? (Variant 178),Input,Output,Accumulation,Generation,2,mass_balance
533,medium,Why is a purge stream required in recycle systems? (Variant 178),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
534,hard,Which balance must always be satisfied? (Variant 178),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
535,easy,Which term is zero in steady-state mass balance? (Variant 179),Input,Output,Accumulation,Generation,2,mass_balance
536,medium,Why is a purge stream required in recycle systems? (Variant 179),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
537,hard,Which balance must always be satisfied? (Variant 179),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
538,easy,Which term is zero in steady-state mass balance? (Variant 180),Input,Output,Accumulation,Generation,2,mass_balance
539,medium,Why is a purge stream required in recycle systems? (Variant 180),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
540,hard,Which balance must always be satisfied? (Variant 180),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
541,easy,Which term is zero in steady-state mass balance? (Variant 181),Input,Output,Accumulation,Generation,2,mass_balance
542,medium,Why is a purge stream required in recycle systems? (Variant 181),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
543,hard,Which balance must always be satisfied? (Variant 181),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
544,easy,Which term is zero in steady-state mass balance? (Variant 182),Input,Output,Accumulation,Generation,2,mass_balance
545,medium,Why is a purge stream required in recycle systems? (Variant 182),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
546,hard,Which balance must always be satisfied? (Variant 182),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
547,easy,Which term is zero in steady-state mass balance? (Variant 183),Input,Output,Accumulation,Generation,2,mass_balance
548,medium,Why is a purge stream required in recycle systems? (Variant 183),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
549,hard,Which balance must always be satisfied? (Variant 183),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
550,easy,Which term is zero in steady-state mass balance? (Variant 184),Input,Output,Accumulation,Generation,2,mass_balance
551,medium,Why is a purge stream required in recycle systems? (Variant 184),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
552,hard,Which balance must always be satisfied? (Variant 184),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
553,easy,Which term is zero in steady-state mass balance? (Variant 185),Input,Output,Accumulation,Generation,2,mass_balance
554,medium,Why is a purge stream required in recycle systems? (Variant 185),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
555,hard,Which balance must always be satisfied? (Variant 185),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
556,easy,Which term is zero in steady-state mass balance? (Variant 186),Input,Output,Accumulation,Generation,2,mass_balance
557,medium,Why is a purge stream required in recycle systems? (Variant 186),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
558,hard,Which balance must always be satisfied? (Variant 186),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
559,easy,Which term is zero in steady-state mass balance? (Variant 187),Input,Output,Accumulation,Generation,2,mass_balance
560,medium,Why is a purge stream required in recycle systems? (Variant 187),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
561,hard,Which balance must always be satisfied? (Variant 187),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
562,easy,Which term is zero in steady-state mass balance? (Variant 188),Input,Output,Accumulation,Generation,2,mass_balance
563,medium,Why is a purge stream required in recycle systems? (Variant 188),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
564,hard,Which balance must always be satisfied? (Variant 188),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
565,easy,Which term is zero in steady-state mass balance? (Variant 189),Input,Output,Accumulation,Generation,2,mass_balance
566,medium,Why is a purge stream required in recycle systems? (Variant 189),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
567,hard,Which balance must always be satisfied? (Variant 189),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
568,easy,Which term is zero in steady-state mass balance? (Variant 190),Input,Output,Accumulation,Generation,2,mass_balance
569,medium,Why is a purge stream required in recycle systems? (Variant 190),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
570,hard,Which balance must always be satisfied? (Variant 190),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
571,easy,Which term is zero in steady-state mass balance? (Variant 191),Input,Output,Accumulation,Generation,2,mass_balance
572,medium,Why is a purge stream required in recycle systems? (Variant 191),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
573,hard,Which balance must always be satisfied? (Variant 191),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
574,easy,Which term is zero in steady-state mass balance? (Variant 192),Input,Output,Accumulation,Generation,2,mass_balance
575,medium,Why is a purge stream required in recycle systems? (Variant 192),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
576,hard,Which balance must always be satisfied? (Variant 192),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
577,easy,Which term is zero in steady-state mass balance? (Variant 193),Input,Output,Accumulation,Generation,2,mass_balance
578,medium,Why is a purge stream required in recycle systems? (Variant 193),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
579,hard,Which balance must always be satisfied? (Variant 193),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
580,easy,Which term is zero in steady-state mass balance? (Variant 194),Input,Output,Accumulation,Generation,2,mass_balance
581,medium,Why is a purge stream required in recycle systems? (Variant 194),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
582,hard,Which balance must always be satisfied? (Variant 194),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
583,easy,Which term is zero in steady-state mass balance? (Variant 195),Input,Output,Accumulation,Generation,2,mass_balance
584,medium,Why is a purge stream required in recycle systems? (Variant 195),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
585,hard,Which balance must always be satisfied? (Variant 195),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
586,easy,Which term is zero in steady-state mass balance? (Variant 196),Input,Output,Accumulation,Generation,2,mass_balance
587,medium,Why is a purge stream required in recycle systems? (Variant 196),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
588,hard,Which balance must always be satisfied? (Variant 196),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
589,easy,Which term is zero in steady-state mass balance? (Variant 197),Input,Output,Accumulation,Generation,2,mass_balance
590,medium,Why is a purge stream required in recycle systems? (Variant 197),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
591,hard,Which balance must always be satisfied? (Variant 197),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
592,easy,Which term is zero in steady-state mass balance? (Variant 198),Input,Output,Accumulation,Generation,2,mass_balance
593,medium,Why is a purge stream required in recycle systems? (Variant 198),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
594,hard,Which balance must always be satisfied? (Variant 198),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
595,easy,Which term is zero in steady-state mass balance? (Variant 199),Input,Output,Accumulation,Generation,2,mass_balance
596,medium,Why is a purge stream required in recycle systems? (Variant 199),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
597,hard,Which balance must always be satisfied? (Variant 199),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
598,easy,Which term is zero in steady-state mass balance? (Variant 200),Input,Output,Accumulation,Generation,2,mass_balance
599,medium,Why is a purge stream required in recycle systems? (Variant 200),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
600,hard,Which balance must always be satisfied? (Variant 200),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
601,easy,Which term is zero in steady-state mass balance? (Variant 201),Input,Output,Accumulation,Generation,2,mass_balance
602,medium,Why is a purge stream required in recycle systems? (Variant 201),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
603,hard,Which balance must always be satisfied? (Variant 201),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
604,easy,Which term is zero in steady-state mass balance? (Variant 202),Input,Output,Accumulation,Generation,2,mass_balance
605,medium,Why is a purge stream required in recycle systems? (Variant 202),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
606,hard,Which balance must always be satisfied? (Variant 202),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
607,easy,Which term is zero in steady-state mass balance? (Variant 203),Input,Output,Accumulation,Generation,2,mass_balance
608,medium,Why is a purge stream required in recycle systems? (Variant 203),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
609,hard,Which balance must always be satisfied? (Variant 203),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
610,easy,Which term is zero in steady-state mass balance? (Variant 204),Input,Output,Accumulation,Generation,2,mass_balance
611,medium,Why is a purge stream required in recycle systems? (Variant 204),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
612,hard,Which balance must always be satisfied? (Variant 204),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
613,easy,Which term is zero in steady-state mass balance? (Variant 205),Input,Output,Accumulation,Generation,2,mass_balance
614,medium,Why is a purge stream required in recycle systems? (Variant 205),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
615,hard,Which balance must always be satisfied? (Variant 205),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
616,easy,Which term is zero in steady-state mass balance? (Variant 206),Input,Output,Accumulation,Generation,2,mass_balance
617,medium,Why is a purge stream required in recycle systems? (Variant 206),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
618,hard,Which balance must always be satisfied? (Variant 206),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
619,easy,Which term is zero in steady-state mass balance? (Variant 207),Input,Output,Accumulation,Generation,2,mass_balance
620,medium,Why is a purge stream required in recycle systems? (Variant 207),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
621,hard,Which balance must always be satisfied? (Variant 207),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
622,easy,Which term is zero in steady-state mass balance? (Variant 208),Input,Output,Accumulation,Generation,2,mass_balance
623,medium,Why is a purge stream required in recycle systems? (Variant 208),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
624,hard,Which balance must always be satisfied? (Variant 208),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
625,easy,Which term is zero in steady-state mass balance? (Variant 209),Input,Output,Accumulation,Generation,2,mass_balance
626,medium,Why is a purge stream required in recycle systems? (Variant 209),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
627,hard,Which balance must always be satisfied? (Variant 209),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
628,easy,Which term is zero in steady-state mass balance? (Variant 210),Input,Output,Accumulation,Generation,2,mass_balance
629,medium,Why is a purge stream required in recycle systems? (Variant 210),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
630,hard,Which balance must always be satisfied? (Variant 210),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
631,easy,Which term is zero in steady-state mass balance? (Variant 211),Input,Output,Accumulation,Generation,2,mass_balance
632,medium,Why is a purge stream required in recycle systems? (Variant 211),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
633,hard,Which balance must always be satisfied? (Variant 211),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
634,easy,Which term is zero in steady-state mass balance? (Variant 212),Input,Output,Accumulation,Generation,2,mass_balance
635,medium,Why is a purge stream required in recycle systems? (Variant 212),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
636,hard,Which balance must always be satisfied? (Variant 212),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
637,easy,Which term is zero in steady-state mass balance? (Variant 213),Input,Output,Accumulation,Generation,2,mass_balance
638,medium,Why is a purge stream required in recycle systems? (Variant 213),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
639,hard,Which balance must always be satisfied? (Variant 213),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
640,easy,Which term is zero in steady-state mass balance? (Variant 214),Input,Output,Accumulation,Generation,2,mass_balance
641,medium,Why is a purge stream required in recycle systems? (Variant 214),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
642,hard,Which balance must always be satisfied? (Variant 214),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
643,easy,Which term is zero in steady-state mass balance? (Variant 215),Input,Output,Accumulation,Generation,2,mass_balance
644,medium,Why is a purge stream required in recycle systems? (Variant 215),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
645,hard,Which balance must always be satisfied? (Variant 215),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
646,easy,Which term is zero in steady-state mass balance? (Variant 216),Input,Output,Accumulation,Generation,2,mass_balance
647,medium,Why is a purge stream required in recycle systems? (Variant 216),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
648,hard,Which balance must always be satisfied? (Variant 216),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
649,easy,Which term is zero in steady-state mass balance? (Variant 217),Input,Output,Accumulation,Generation,2,mass_balance
650,medium,Why is a purge stream required in recycle systems? (Variant 217),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
651,hard,Which balance must always be satisfied? (Variant 217),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
652,easy,Which term is zero in steady-state mass balance? (Variant 218),Input,Output,Accumulation,Generation,2,mass_balance
653,medium,Why is a purge stream required in recycle systems? (Variant 218),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
654,hard,Which balance must always be satisfied? (Variant 218),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
655,easy,Which term is zero in steady-state mass balance? (Variant 219),Input,Output,Accumulation,Generation,2,mass_balance
656,medium,Why is a purge stream required in recycle systems? (Variant 219),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
657,hard,Which balance must always be satisfied? (Variant 219),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
658,easy,Which term is zero in steady-state mass balance? (Variant 220),Input,Output,Accumulation,Generation,2,mass_balance
659,medium,Why is a purge stream required in recycle systems? (Variant 220),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
660,hard,Which balance must always be satisfied? (Variant 220),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
661,easy,Which term is zero in steady-state mass balance? (Variant 221),Input,Output,Accumulation,Generation,2,mass_balance
662,medium,Why is a purge stream required in recycle systems? (Variant 221),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
663,hard,Which balance must always be satisfied? (Variant 221),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
664,easy,Which term is zero in steady-state mass balance? (Variant 222),Input,Output,Accumulation,Generation,2,mass_balance
665,medium,Why is a purge stream required in recycle systems? (Variant 222),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
666,hard,Which balance must always be satisfied? (Variant 222),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
667,easy,Which term is zero in steady-state mass balance? (Variant 223),Input,Output,Accumulation,Generation,2,mass_balance
668,medium,Why is a purge stream required in recycle systems? (Variant 223),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
669,hard,Which balance must always be satisfied? (Variant 223),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
670,easy,Which term is zero in steady-state mass balance? (Variant 224),Input,Output,Accumulation,Generation,2,mass_balance
671,medium,Why is a purge stream required in recycle systems? (Variant 224),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
672,hard,Which balance must always be satisfied? (Variant 224),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
673,easy,Which term is zero in steady-state mass balance? (Variant 225),Input,Output,Accumulation,Generation,2,mass_balance
674,medium,Why is a purge stream required in recycle systems? (Variant 225),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
675,hard,Which balance must always be satisfied? (Variant 225),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
676,easy,Which term is zero in steady-state mass balance? (Variant 226),Input,Output,Accumulation,Generation,2,mass_balance
677,medium,Why is a purge stream required in recycle systems? (Variant 226),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
678,hard,Which balance must always be satisfied? (Variant 226),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
679,easy,Which term is zero in steady-state mass balance? (Variant 227),Input,Output,Accumulation,Generation,2,mass_balance
680,medium,Why is a purge stream required in recycle systems? (Variant 227),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
681,hard,Which balance must always be satisfied? (Variant 227),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
682,easy,Which term is zero in steady-state mass balance? (Variant 228),Input,Output,Accumulation,Generation,2,mass_balance
683,medium,Why is a purge stream required in recycle systems? (Variant 228),Increase conversion,Remove inert accumulation,Reduce pressure,Increase recycle ratio,1,recycle_systems
684,hard,Which balance must always be satisfied? (Variant 228),Component balance,Energy balance,Overall mass balance,Entropy balance,2,conservation_laws
685,easy,Which term is zero in steady-state mass balance? (Variant 229),Input,Output,Accumulation,Generation,2,mass_balance
